"vs" "exempt_group" "country" "ets_sector" "sec4dig" "carb_int" "trade_int" "ets"
"129" 1 "C" "Belgium" "Food/Tobacco" 1562 6.94264650344849 14.473747253418 1
"130" 1 "not exempt" "Belgium" "Chemical&Plastic" 2430 2.53263330459595 20.881742477417 0
"131" 1 "not exempt" "Belgium" "Food/Tobacco" 1511 0.845639169216156 11.1398878097534 1
"132" 1 "B & CI<5" "Germany" "Machinery&Optics" 3150 2.68368005752563 41.3302688598633 0
"133" 1 "not exempt" "Germany" "Publishing" 2222 0.508771181106567 3.67510652542114 0
"134" 3 "B & CI<5" "Germany" "FabricatedMetals" 2861 2.39275074005127 64.580810546875 0
"135" 1 "B & CI<5" "Germany" "Glass" 2615 2.43591690063477 49.2340507507324 0
"136" 1 "not exempt" "Germany" "Food/Tobacco" 1598 0.519645094871521 6.29976654052734 0
"137" 1 "B & CI<5" "Germany" "Machinery&Optics" 3162 0.429447829723358 44.9192581176758 0
"138" 1 "not exempt" "Germany" "Wood&Paper" 2123 2.39870500564575 9.4058084487915 0
"139" NA "not exempt" "Germany" "Wood&Paper" 2040 2.49939060211182 7.43818807601929 0
"140" 1 "B & CI<5" "Germany" "TVCommunication" 3210 0.728588163852692 81.4832000732422 0
"141" 1 "B & CI<5" "Germany" "Machinery&Optics" 3140 1.7987859249115 54.5336570739746 0
"142" 1 "B & CI<5" "Germany" "Ceramics" 2621 1.90187036991119 57.0145301818848 0
"143" 1 "not exempt" "Germany" "Food/Tobacco" 1531 1.40565395355225 5.9723424911499 0
"144" 1 "not exempt" "Germany" "Food/Tobacco" 1586 0.534607470035553 12.3189840316772 1
"145" 1 "not exempt" "Germany" "Food/Tobacco" 1551 1.40350115299225 7.69805860519409 1
"146" 1 "B & CI<5" "Germany" "Ceramics" 2626 2.94118809700012 37.1418914794922 1
"147" 3 "B & CI>5" "Germany" "OtherBasicMetals" 2745 17.5433559417725 73.8376922607422 1
"148" 5 "C" "Germany" "Fuels" 2320 11.7829265594482 16.1248836517334 1
"149" 3 "B & CI<5" "Germany" "Vehicles" 3530 0.207976639270782 79.5714416503906 1
"150" 2 "C" "Germany" "Fuels" 2320 11.85045337677 16.103588104248 1
"151" 1 "not exempt" "Germany" "Publishing" 2221 2.50325083732605 3.40694737434387 1
"152" 1 "not exempt" "Germany" "Publishing" 2222 0.322381943464279 3.65972328186035 1
"153" 5 "B & CI<5" "Germany" "Chemical&Plastic" 2464 1.13957643508911 65.6275253295898 1
"154" 5 "C" "Germany" "Glass" 2613 7.2637414932251 24.3068218231201 1
"155" 5 "B & CI<5" "Germany" "Glass" 2615 2.37953281402588 49.0667533874512 1
"156" 1 "not exempt" "Germany" "Wood&Paper" 2020 3.52872967720032 23.703311920166 1
"157" 3 NA "Germany" "Food/Tobacco" 1550 NA NA 1
