"sec4dig" "carb_int" "trade_int" "n_install" "emp" "co2" "firm_sec"
"229" 1531 1.2626097202301 5.89844036102295 1 143.5 0 1
"230" 1583 5.38651752471924 19.4067134857178 5 557.5 255629.5 1
"231" 1533 0.83876621723175 21.5810050964355 1 429 19752 1
"232" 2710 10.6796426773071 32.4432678222656 1 285.5 105363 1
"233" 2614 3.56482744216919 23.4362201690674 1 160.25 15323.5 1
"234" 3130 1.02576088905334 32.5011863708496 1 892.75 9202.5 1
"235" 2513 0.987574636936188 26.5245113372803 1 293.25 12723.5 1
"236" 2651 45.4222106933594 6.89928960800171 1 394.5 1477307 1
"237" 2942 2.4417200088501 48.3893508911133 1 291 2989.5 1
"238" 2666 2.51179957389832 17.7483539581299 1 47 14271.5 1
"239" 1717 2.49336504936218 40.541675567627 1 332.666656494141 4240.5 1
"240" 1751 0.869138479232788 31.2698059082031 1 231 0 1
"241" 2442 0.124729380011559 58.47607421875 2 4659.5 26340.5 1
"242" 1551 1.60311567783356 7.50265741348267 1 115.5 21464 1
"243" 1751 0.841317236423492 31.2186069488525 2 2790 13588.5 1
"244" 2640 9.97065448760986 2.63229012489319 3 193.25 66441.5 1
"245" 2960 0.657934725284576 33.6191062927246 1 1100 4770.5 1
"246" 2752 2.01589059829712 0 1 411.5 4962.5 1
"247" 2414 5.32798624038696 46.4226951599121 1 NA 139026 1
"248" 1542 2.38792395591736 19.2802734375 1 12 12555.5 1
"249" 2682 1.81236505508423 17.7377681732178 1.80000007152557 150.050003051758 37836.40234375 0.333333343267441
"250" 2640 9.75956439971924 2.75124073028564 3 250.083343505859 63060.66796875 0.333333343267441
"251" 1730 1.45460641384125 1.63452291488647 1 184.5 2360 1
"252" 1551 1.22000014781952 7.55155372619629 1 142.75 15631.5 1
"253" 1583 5.4210090637207 19.4850101470947 1 141.5 32444 1
"254" 2112 10.1454610824585 25.7281322479248 1 224 21293.5 1
"255" 2112 10.0919246673584 25.5891265869141 1 677.5 97528.5 1
"256" 2640 9.73351860046387 2.69249820709229 2 103.75 79731 1
"257" 1751 0.760741293430328 31.1946716308594 1 625.75 9274.5 1
"258" 2710 10.5992832183838 32.4291343688965 1 NA 24570 1
"259" 2640 9.95815086364746 2.68479776382446 1 53 19557.5 1
"260" 2414 5.50495719909668 46.466552734375 1 445.75 133826.5 1
"261" 2112 10.115550994873 25.6194763183594 1 247 195850 1
"262" 2020 3.61162376403809 23.9161434173584 1 314 20336.5 1
"263" 2416 3.03871583938599 26.9973526000977 1 702.5 67126.5 1
"264" 2521 1.44626724720001 20.4155864715576 1 266.333343505859 31071.5 1
"265" 2742 13.9869899749756 36.0437889099121 1 103 6280.5 1
"266" 2420 1.31693458557129 41.204402923584 1 927.5 265319.5 1
"267" 1531 1.32618200778961 5.94079065322876 1 447 20618 1
"268" 2661 2.50278353691101 1.6393815279007 1 726 16237 1
"269" 2661 2.69321346282959 1.48803949356079 1 183.25 24956.5 1
"270" 2614 3.63961958885193 23.627613067627 1 295.25 46779.5 1
"271" 2614 3.74441456794739 23.5585117340088 1 407.333343505859 70122.5 1
"272" 2613 7.27241945266724 24.3112850189209 1 281.5 65019.5 1
"273" 2651 45.5568885803223 6.73124933242798 0.571428596973419 NA 1837.4287109375 0.25
"274" 2682 1.71907782554626 17.9623069763184 0.142857149243355 NA 459.357177734375 0.25
"275" 2640 9.80986499786377 2.77805852890015 0.142857149243355 NA 459.357177734375 0.25
"276" 2413 11.9641885757446 31.6899890899658 0.5 44.5 11731.5 0.5
"277" 2651 45.491153717041 6.64086008071899 0.272727251052856 94.2727203369141 4862.31787109375 0.25
"278" 2123 2.41413927078247 9.47342205047607 0.181818187236786 62.8484840393066 3241.54565429688 0.25
"279" 2710 10.5652799606323 32.4128837585449 0.272727251052856 94.2727203369141 4862.31787109375 0.25
"280" 2413 11.8514881134033 31.7895565032959 1 57.25 21711.5 1
"281" 1531 1.27011668682098 6.00082635879517 1 23.25 13231 1
"282" 2413 11.8455209732056 31.8102035522461 1 323.5 42665.5 1
"283" 1562 6.94264650344849 14.473747253418 3 315.111114501953 67985.5 1
"284" 1592 5.74692583084106 17.1672229766846 1 203 109502 1
"285" 2416 3.01457238197327 27.0751323699951 1 626.666687011719 18718 1
"286" 2743 7.51646280288696 26.6922817230225 1 760.666687011719 14761.5 1
"287" 2010 1.63820111751556 30.6828880310059 1 176 9715 1
"288" 2112 10.280011177063 25.6111545562744 1 22 0 1
"289" 1511 0.845639169216156 11.1398878097534 1 147.66667175293 0 1
"290" 2413 11.966118812561 31.8214302062988 1 502.875 94313 0.5
"291" 1551 1.48159778118134 7.53518629074097 2 459.75 66395.5 1
"292" 2626 2.87621903419495 37.2581329345703 1 232 9367.5 1
"293" 1717 2.51926040649414 40.4722480773926 1 423.333343505859 19940.5 1
"294" 1717 2.41948437690735 40.4129943847656 1 551.5 6481.5 1
"295" 2320 11.7119626998901 16.0477561950684 1 35.6666679382324 906.5 1
"296" 1754 0.867807507514954 37.4048500061035 1 161 29349.5 1
"297" 2952 0.295059353113174 62.9352874755859 1 750 10075.5 1
"298" 2923 0.259848296642303 34.4657859802246 1 1250 20760.5 1
"299" 3530 0.190339595079422 79.7210998535156 1 2250 4465 1
"300" 2414 5.31807422637939 46.3624038696289 1 503.666656494141 60564.5 1
